,sub,hemi,label,norm_mean_sulcal_depth,mean_cortical_thickness,type
461,n050t2,rh,pmfs_p,-0.304177493,3.147,Tertiary
489,n050t2,lh,pmfs_p,-0.230078369,2.309,Tertiary
517,n050t2,rh,sfs_a,0.287555873,2.387,Non-Tertiary
545,n050t2,lh,sfs_a,0.32355231,2.505,Non-Tertiary
573,n050t2,rh,sfs_p,0.20098184,2.715,Non-Tertiary
601,n050t2,lh,sfs_p,0.20639132,2.589,Non-Tertiary
629,n050t2,rh,sprs,0.28499347,2.74,Non-Tertiary
657,n050t2,lh,sprs,0.250312239,2.616,Non-Tertiary
15,n078t2,rh,central,0.190553412,1.829,Non-Tertiary
43,n078t2,lh,central,0.207658425,1.86,Non-Tertiary
71,n078t2,rh,ifs,0.362939477,2.296,Non-Tertiary
99,n078t2,lh,ifs,0.271136343,2.604,Non-Tertiary
127,n078t2,rh,imfs_h,0.165245041,2.264,Non-Tertiary
155,n078t2,lh,imfs_h,0.331651032,1.835,Non-Tertiary
183,n078t2,rh,imfs_v,0.186545104,2.077,Non-Tertiary
211,n078t2,lh,imfs_v,0.20459111,2.636,Non-Tertiary
239,n078t2,rh,iprs,0.242416188,2.307,Non-Tertiary
267,n078t2,lh,iprs,0.314790696,2.582,Non-Tertiary
295,n078t2,rh,pimfs,0.135429427,2.048,Tertiary
323,n078t2,lh,pimfs,0.145318344,2.087,Tertiary
351,n078t2,rh,pmfs_a,0.167179301,2.086,Tertiary
379,n078t2,lh,pmfs_a,0.113225579,2.263,Tertiary
407,n078t2,rh,pmfs_i,-0.328328222,3.329,Tertiary
435,n078t2,lh,pmfs_i,0.157031178,2.13,Tertiary
463,n078t2,rh,pmfs_p,-0.132090449,1.821,Tertiary
491,n078t2,lh,pmfs_p,-0.048647851,2.343,Tertiary
519,n078t2,rh,sfs_a,0.204320148,2.372,Non-Tertiary
547,n078t2,lh,sfs_a,0.192090005,2.168,Non-Tertiary
575,n078t2,rh,sfs_p,0.251149297,2.524,Non-Tertiary
603,n078t2,lh,sfs_p,0.260564625,2.52,Non-Tertiary
631,n078t2,rh,sprs,0.288205266,2.663,Non-Tertiary
659,n078t2,lh,sprs,0.212143719,2.516,Non-Tertiary
16,n083t2,rh,central,0.220563382,2.11,Non-Tertiary
44,n083t2,lh,central,0.242872044,2.09,Non-Tertiary
